v1,v2,v3
380,400,381
448,437,305
400,361,381
380,360,400
401,341,361
341,401,340
341,340,402
341,403,361
285,286,437
361,362,404
361,360,401
383,382,405
383,363,406
360,340,401
363,383,405
362,403,407
363,407,408
406,384,383
381,361,404
364,365,409
362,361,403
361,400,360
341,410,342
341,402,321
320,300,411
410,322,414
321,412,322
321,320,411
300,280,413
412,302,322
446,436,306
410,414,342
343,415,344
343,342,414
415,324,421
408,364,363
416,323,303
303,302,417
324,304,418
324,323,416
283,419,303
303,420,302
302,420,322
415,421,344
301,422,302
407,363,362
326,306,436
344,345,423
385,424,386
384,406,409
424,366,428
321,402,320
345,426,425
425,365,423
425,426,346
366,427,367
408,423,364
424,428,386
407,403,342
388,387,429
389,388,430
405,404,362
368,430,429
431,368,367
368,431,432
369,433,430
387,386,428
369,370,433
431,427,347
341,342,403
346,326,434
346,426,326
426,435,326
434,327,347
436,327,434
306,326,435
435,437,306
327,436,307
324,418,325
444,438,327
348,328,439
347,327,438
439,329,349
432,369,368
329,439,440
444,441,308
329,309,442
309,329,440
443,309,440
444,307,441
327,307,444
442,445,329
446,307,436
348,432,431
345,344,421
445,447,349
304,448,305
340,320,402
260,449,280
437,435,305
280,449,281
413,301,300
450,241,261
450,240,451
240,220,451
261,452,262
427,434,347
449,453,281
303,417,283
283,282,454
284,283,455
304,303,419
458,455,264
242,456,262
457,263,243
454,263,455
262,454,453
264,265,458
262,452,242
437,448,285
459,242,452
450,451,241
221,220,460
459,222,242
460,461,221
460,201,461
201,200,462
202,469,461
390,389,433
463,243,456
223,464,243
463,223,243
464,244,457
264,263,457
465,223,469
203,202,466
465,467,224
465,204,467
203,468,204
465,469,203
469,222,461
244,224,470
201,471,202
263,456,243
434,326,436
264,244,472
458,473,285
284,455,458
266,477,473
446,437,286
245,475,474
245,474,265
474,475,246
266,476,267
264,472,265
266,267,477
443,441,288
288,287,478
289,288,479
498,443,289
479,478,268
480,268,267
481,269,268
482,479,269
473,477,286
269,270,482
247,267,476
441,446,287
483,247,476
226,246,475
475,484,226
247,483,227
485,227,483
484,206,485
205,185,486
207,493,485
205,484,467
247,227,487
488,249,481
480,487,248
249,488,229
481,249,269
228,493,489
490,207,495
209,210,491
229,228,489
208,492,209
489,493,208
493,227,485
249,229,494
486,495,206
480,248,268
470,225,245
269,249,496
204,497,205
422,282,417
325,305,435
289,290,498
390,499,391
389,430,433
499,371,503
404,405,382
500,350,351
500,370,447
350,330,501
371,502,372
432,447,369
499,503,391
363,364,406
393,392,504
394,393,505
409,406,364
373,505,504
506,373,372
507,374,373
505,374,394
392,391,503
394,374,508
506,502,352
363,405,362
351,331,509
351,350,501
501,510,331
332,513,509
331,511,332
311,331,510
510,512,311
332,511,312
445,442,330
332,333,513
353,333,514
509,513,352
514,334,354
507,354,374
334,514,515
313,312,516
334,314,517
314,334,515
518,314,515
313,519,312
332,312,519
517,520,334
311,521,312
353,507,506
349,329,445
374,354,522
395,523,396
508,395,394
523,376,527
408,407,343
524,355,356
524,375,522
356,355,525
376,526,377
375,374,522
523,527,396
423,408,344
398,397,528
399,398,529
424,409,365
528,378,398
530,378,377
531,379,378
529,379,399
397,396,527
385,384,409
530,526,357
343,344,408
525,532,356
525,336,532
336,335,533
532,337,357
336,534,337
316,336,533
316,315,535
337,534,317
520,517,335
541,536,337
358,338,537
357,337,536
537,339,359
531,359,379
339,537,538
539,318,541
300,301,411
319,339,538
298,540,318
541,317,539
337,317,541
341,321,410
316,542,317
530,358,378
354,334,520
321,322,410
543,315,517
342,343,407
482,544,290
