v1,v2,v3
289,479,482
271,548,544
516,521,292
250,546,545
250,545,270
545,546,251
271,547,272
270,269,496
271,272,548
294,314,518
548,549,292
294,293,550
535,543,295
549,293,292
551,273,272
274,550,552
553,550,274
544,548,291
567,553,274
252,272,547
518,516,293
251,554,252
231,251,546
491,555,230
252,554,232
232,231,556
546,555,231
555,557,211
556,211,212
489,491,229
252,232,558
559,254,552
253,252,558
254,559,234
552,254,274
560,213,563
561,212,566
560,562,234
560,234,559
214,560,563
564,213,560
212,213,564
254,234,565
211,566,212
551,253,273
496,494,250
274,254,567
539,542,297
553,568,295
569,277,571
298,318,539
569,276,277
296,295,568
570,256,578
276,570,277
550,553,294
569,571,297
572,298,571
539,571,298
572,299,540
319,538,540
573,279,572
574,257,575
258,575,238
279,573,259
277,257,574
321,301,412
276,275,576
535,296,542
235,577,255
567,565,255
255,577,256
570,578,257
579,236,235
579,216,581
215,580,216
579,581,236
565,562,235
236,237,578
238,583,582
258,238,582
582,583,239
280,281,413
581,584,237
237,236,581
199,219,585
218,585,583
584,586,218
575,584,238
584,575,237
422,413,281
586,587,197
256,276,576
553,567,275
302,412,301
215,562,588
521,512,291
443,498,309
301,321,411
209,589,210
382,381,404
180,590,181
447,432,349
161,594,590
466,471,182
591,141,593
591,160,140
141,140,592
591,593,161
439,432,348
590,594,181
497,468,184
183,182,595
184,183,596
183,468,466
596,595,163
597,162,593
598,163,597
599,596,164
162,595,594
596,599,184
593,142,597
497,185,205
121,600,141
141,592,121
120,100,601
141,600,142
121,602,122
121,120,601
102,101,603
602,102,122
438,431,347
600,604,142
123,605,143
604,123,143
143,605,144
598,144,613
606,123,610
103,102,607
606,608,124
606,104,608
103,609,104
103,610,102
102,610,122
605,611,144
100,80,612
597,143,598
427,431,367
598,613,164
165,614,185
185,599,165
185,614,186
495,207,206
615,145,146
615,165,613
146,145,616
166,617,167
145,615,613
614,618,186
189,589,492
618,619,187
619,620,188
492,490,188
619,188,187
621,168,167
622,169,168
620,189,188
186,618,187
620,623,189
621,617,147
205,486,206
146,624,147
126,146,616
126,125,625
147,624,127
126,626,127
625,106,626
625,627,106
107,634,626
124,608,125
147,127,628
148,629,149
148,147,628
149,629,129
149,637,622
630,128,634
634,631,108
679,632,109
630,109,632
108,88,633
634,108,630
631,634,107
149,129,635
106,86,636
148,622,621
144,611,145
622,637,169
609,638,104
589,190,210
80,639,81
368,369,430
81,639,61
612,101,100
640,41,61
41,640,40
41,40,641
41,642,61
428,429,387
81,61,643
83,103,607
83,82,644
83,63,645
84,638,609
644,63,83
62,642,646
63,646,647
645,84,83
82,81,643
645,648,84
62,61,642
82,102,603
41,649,42
41,641,21
21,20,650
649,22,652
1,651,21
1,21,650
429,428,367
21,651,22
366,367,428
649,652,42
43,653,44
43,42,652
653,24,657
647,64,63
654,23,3
434,427,346
654,655,24
24,23,654
426,325,435
3,656,2
651,656,22
653,657,44
425,427,366
646,63,62
367,368,429
44,45,658
65,659,85
85,84,648
85,659,86
86,106,627
45,661,660
660,65,658
660,661,46
662,67,663
647,658,64
86,66,663
88,108,631
87,67,664
88,68,665
89,109,633
664,88,87
68,664,666
68,666,667
665,89,88
86,663,87
89,69,668
666,662,47
87,107,636
46,26,669
46,661,26
25,5,670
669,27,47
6,671,26
26,25,670
427,425,346
26,671,27
24,655,25
27,28,672
48,28,673
47,27,672
673,29,49
69,665,667
674,28,8
409,424,385
29,9,675
29,28,674
365,366,424
8,28,676
7,676,27
29,30,677
366,365,425
48,667,666
45,44,657
677,678,49
345,325,426
85,105,638
429,430,388
89,90,679
170,680,190
190,189,623
680,191,557
561,566,192
681,151,683
681,170,150
681,682,151
171,683,172
169,637,170
171,172,684
563,194,214
588,195,580
193,192,685
686,194,563
686,685,173
687,173,172
174,686,688
174,194,686
680,684,191
194,174,689
687,683,152
193,563,561
151,690,152
690,682,131
682,691,131
690,132,694
691,692,131
691,111,692
110,90,693
112,700,692
630,632,129
690,694,152
695,154,688
153,152,694
154,695,134
688,154,174
696,133,700
113,112,697
134,114,698
134,696,114
113,93,699
700,113,696
112,113,700
154,134,701
111,91,702
153,688,687
150,149,635
174,154,703
196,197,587
197,707,586
704,176,705
196,705,197
176,704,175
157,706,156
176,706,177
707,705,177
689,195,588
705,707,197
179,199,708
708,585,198
707,198,586
178,709,708
709,179,708
178,710,158
710,711,158
179,709,159
710,157,711
322,323,414
176,175,712
580,196,587
155,713,156
155,703,701
713,136,714
157,156,714
116,717,715
116,715,115
116,115,716
116,117,717
698,135,701
136,137,714
159,709,718
158,711,138
719,138,711
159,718,139
721,720,119
118,721,138
303,304,416
139,721,119
719,722,118
138,719,118
715,717,136
343,323,415
716,723,116
712,156,706
689,703,175
323,324,415
114,94,724
191,566,557
70,725,90
90,89,668
725,91,693
693,111,110
726,50,51
726,70,678
50,30,727
71,728,72
667,678,69
71,72,729
93,113,697
729,730,92
93,73,731
94,114,699
730,93,92
732,73,72
74,731,733
731,94,93
91,71,729
94,74,734
732,728,52
697,702,92
51,31,735
51,50,727
30,10,736
32,738,735
31,11,737
727,736,31
425,423,345
12,742,737
29,675,30
32,33,738
53,33,739
735,738,52
739,34,54
733,54,74
740,33,13
413,422,301
34,14,741
34,33,740
324,325,421
13,33,742
742,32,737
34,35,743
282,422,281
53,733,732
49,29,677
74,54,744
95,75,745
95,94,734
76,749,745
723,716,96
746,55,56
746,75,744
56,55,747
76,748,77
734,744,75
76,77,749
98,722,97
97,77,750
98,78,751
99,119,720
750,98,97
78,750,752
79,751,753
751,99,98
745,749,96
422,417,302
752,748,57
97,117,723
747,754,56
747,36,754
35,15,755
754,37,57
755,756,36
36,35,755
322,420,323
756,17,37
34,741,35
37,38,757
58,38,758
57,37,757
758,39,59
753,59,79
759,38,18
448,419,284
325,418,305
39,38,759
283,284,419
18,38,760
17,760,37
304,305,418
303,323,420
752,58,78
54,34,743
283,417,282
325,345,421
95,115,724
109,89,679
304,324,416
365,364,423
471,462,181
499,433,370
323,343,414
328,348,438
431,438,348
439,328,440
432,439,349
443,440,308
328,308,440
287,288,441
446,441,307
310,330,442
498,442,309
288,289,443
441,443,308
438,444,328
308,328,444
330,350,445
447,445,350
286,287,446
437,446,306
500,447,350
370,369,447
419,448,304
285,448,284
260,261,449
453,449,261
261,260,450
260,240,450
220,221,451
221,241,451
261,241,452
452,241,459
262,453,261
282,281,453
453,454,282
454,262,456
454,455,283
264,455,263
456,242,463
454,456,263
464,457,243
244,264,457
473,458,265
285,284,458
241,221,459
222,459,221
220,200,460
201,460,200
202,461,201
222,221,461
200,180,462
181,462,180
242,222,463
223,463,222
465,464,223
224,244,464
204,465,203
464,465,224
471,466,202
183,466,182
205,467,204
470,467,225
466,468,203
184,468,183
222,469,223
202,203,469
470,224,467
472,470,245
462,471,201
182,471,181
470,472,244
265,472,245
266,473,265
286,285,473
266,265,474
246,266,474
484,475,225
245,225,475
483,476,246
266,246,476
478,477,267
287,286,477
477,478,287
268,478,267
478,479,288
269,479,268
487,480,247
267,247,480
488,481,248
268,248,481
544,482,270
290,289,482
485,483,226
246,226,483
467,484,225
206,484,205
484,485,226
207,485,206
185,186,486
495,486,186
228,248,487
227,228,487
228,229,488
248,228,488
208,209,489
491,489,209
188,490,187
208,207,490
555,491,210
494,491,230
188,189,492
490,492,208
227,493,228
207,208,493
230,250,494
491,494,229
186,187,495
490,495,187
250,270,496
494,496,249
468,497,204
185,497,184
512,498,290
442,498,310
370,371,499
433,499,390
371,370,500
502,500,351
510,501,330
331,351,501
351,352,502
500,502,371
504,503,372
371,372,503
372,373,504
503,504,392
373,374,505
504,505,393
352,353,506
502,506,372
514,507,353
506,507,373
523,508,375
374,375,508
332,509,331
352,351,509
512,510,310
330,310,510
311,312,511
331,311,511
290,291,512
498,512,310
333,353,513
353,352,513
514,333,515
507,514,354
518,515,313
333,313,515
292,293,516
521,516,312
315,335,517
543,517,314
293,294,518
516,518,313
333,332,519
313,333,519
335,355,520
522,520,355
291,292,521
512,521,311
524,522,355
520,522,354
375,376,523
508,523,395
376,375,524
526,524,356
355,335,525
336,525,335
356,357,526
524,526,376
528,527,377
376,377,527
377,378,528
527,528,397
378,379,529
398,378,529
536,530,357
526,530,377
537,531,358
378,358,531
337,532,336
357,356,532
315,316,533
335,315,533
316,317,534
336,316,534
295,296,535
543,535,315
338,358,536
530,536,358
537,338,538
531,537,359
540,538,318
338,318,538
542,539,317
571,539,297
572,540,298
299,319,540
536,541,338
318,338,541
296,297,542
535,542,316
294,295,543
314,294,543
544,270,545
291,290,544
544,545,271
251,271,545
555,546,230
250,230,546
251,252,547
271,251,547
549,548,272
292,291,548
272,273,549
550,549,273
549,550,293
550,273,552
252,253,551
272,252,551
559,552,253
273,253,552
568,553,275
295,294,553
231,232,554
251,231,554
557,555,210
556,555,211
556,231,555
564,556,212
680,557,190
210,190,557
233,253,558
232,233,558
560,559,233
253,233,559
560,214,562
564,560,233
193,561,192
213,212,561
579,562,215
588,562,214
561,563,213
686,563,193
233,232,564
556,564,232
562,565,234
255,565,235
557,566,211
191,192,566
255,275,567
565,567,254
275,276,568
569,568,276
568,569,296
297,296,569
277,570,257
276,256,570
572,571,278
574,571,277
573,572,278
279,299,572
582,573,258
278,258,573
571,574,278
258,278,574
257,237,575
574,575,258
255,256,576
275,255,576
235,236,577
236,256,577
236,578,256
237,257,578
562,579,235
215,216,579
588,580,215
195,196,580
216,217,581
581,217,584
573,582,259
239,259,582
583,238,584
219,239,583
586,584,217
584,218,583
583,585,219
198,585,218
586,217,587
198,218,586
217,216,587
587,216,580
214,194,588
689,588,194
492,589,209
190,589,189
180,160,590
161,590,160
160,591,161
140,141,591
140,120,592
121,592,120
142,593,141
162,161,593
162,594,161
182,181,594
594,595,182
163,595,162
595,596,183
164,596,163
143,597,142
163,162,597
144,598,143
164,163,598
165,599,164
185,184,599
121,122,600
604,600,122
100,101,601
602,601,101
601,602,121
102,602,101
612,603,101
82,603,81
123,604,122
143,142,604
123,124,605
611,605,124
104,606,103
124,123,606
102,82,607
83,607,82
104,105,608
125,608,105
83,84,609
103,83,609
606,610,103
122,610,123
124,125,611
145,611,125
80,81,612
603,612,81
145,613,144
165,164,613
165,166,614
618,614,166
166,165,615
617,615,146
125,126,616
145,125,616
146,147,617
615,617,166
166,167,618
618,167,619
167,168,619
620,619,168
168,169,620
623,620,169
147,148,621
617,621,167
148,149,622
621,622,168
169,170,623
190,623,170
126,127,624
146,126,624
125,105,625
625,105,627
625,626,126
626,106,636
105,85,627
86,627,85
128,148,628
127,128,628
128,129,629
148,128,629
630,108,633
129,128,630
107,87,631
88,631,87
110,130,632
130,129,632
89,633,88
630,633,109
128,127,634
626,634,127
130,150,635
129,130,635
87,636,86
626,636,107
149,150,637
170,637,150
85,638,84
105,104,638
60,61,639
80,60,639
61,60,640
60,40,640
40,20,641
21,641,20
41,42,642
646,642,42
644,643,62
61,62,643
62,63,644
643,644,82
63,64,645
648,645,64
42,43,646
647,646,43
43,44,647
658,647,44
64,65,648
85,648,65
21,22,649
41,21,649
0,1,650
20,0,650
1,2,651
656,651,2
23,43,652
22,23,652
23,24,653
43,23,653
3,4,654
655,654,4
4,5,655
25,655,5
23,22,656
3,23,656
25,45,657
24,25,657
660,658,45
65,64,658
660,659,65
66,86,659
659,660,66
662,660,46
45,25,661
26,661,25
669,662,46
660,662,66
662,663,66
87,663,67
666,664,67
68,88,664
667,665,68
69,89,665
672,666,47
662,666,67
673,667,48
678,667,49
678,668,69
90,668,70
27,669,26
662,669,47
5,6,670
6,26,670
6,7,671
7,27,671
28,48,672
666,672,48
29,673,28
667,673,49
8,9,674
9,29,674
9,10,675
30,675,10
27,676,28
7,8,676
30,50,677
678,677,50
726,678,50
668,678,70
90,110,679
632,679,110
681,680,170
684,680,171
681,171,680
682,681,150
691,682,130
150,130,682
151,152,683
681,683,171
685,684,172
192,191,684
684,685,192
173,685,172
685,686,193
688,686,173
152,153,687
683,687,172
695,688,153
687,688,173
703,689,174
689,175,704
131,132,690
682,690,151
130,110,691
111,691,110
112,692,111
132,131,692
725,693,90
91,111,693
695,694,133
132,133,694
696,695,133
694,695,153
696,113,699
695,696,134
702,697,112
93,697,92
724,698,114
698,115,715
94,699,93
696,699,114
133,132,700
692,700,132
713,701,135
698,701,134
92,702,91
112,111,702
712,703,155
701,703,154
196,195,704
704,195,689
704,705,196
176,177,705
706,157,710
712,706,176
710,707,177
198,707,178
585,708,199
178,708,198
718,709,158
178,158,709
707,710,178
710,177,706
719,711,137
714,711,157
703,712,175
156,712,155
135,136,713
701,713,155
714,156,713
711,714,137
136,135,715
698,715,135
115,95,716
96,716,95
719,717,117
137,136,717
721,718,138
158,138,718
717,719,137
722,719,117
118,98,720
99,720,98
721,118,720
718,721,139
97,722,117
98,118,722
97,723,96
117,116,723
95,724,94
698,724,115
726,725,70
71,91,725
725,726,71
728,726,51
736,727,30
31,51,727
51,52,728
726,728,71
730,729,72
92,91,729
72,73,730
73,93,730
733,731,73
74,94,731
52,53,732
728,732,72
739,733,53
732,733,73
744,734,74
95,734,75
32,735,31
52,51,735
10,11,736
11,31,736
12,737,11
32,31,737
33,53,738
53,52,738
34,739,33
733,739,54
13,14,740
14,34,740
14,15,741
35,741,15
32,742,33
12,13,742
35,55,743
744,743,55
746,744,55
743,744,54
76,745,75
96,95,745
76,75,746
748,746,56
55,35,747
36,747,35
56,57,748
746,748,76
77,97,749
97,96,749
752,750,77
78,98,750
753,751,78
79,99,751
757,752,57
748,752,77
758,753,58
78,58,753
37,754,36
57,56,754
15,16,755
756,755,16
17,756,16
37,36,756
38,58,757
752,757,58
39,758,38
753,758,59
18,19,759
19,39,759
37,760,38
17,18,760
